method,mae,rmse,mape,r2,time
rf,2999.01121182586,9225.648127011349,1.703042034477054,0.029883764239767463,4.76837158203125e-07
xt,3017.21907583568,9253.956151273524,1.7846138344155402,0.023921211594792102,1.1920928955078125e-06
ivf_rf,2996.5806133225137,9228.499425759786,1.6984671957008217,0.029284019133984485,3.460214614868164
swf_rf,2997.8663996526807,9225.396789910279,1.7018776869029397,0.02993662185534629,3.106067419052124
owf_rf,2997.8189870792908,9225.527758399801,1.7020578345679238,0.029909078620060647,2.855766773223877
mrf_rf,2955.2535647457107,9230.041760013914,1.6605113521884007,0.028959525725444135,4.708058834075928
xgb,3251.865130209565,13445.872358408598,2.356701207469403,0.001759617029760241,0.09945106506347656
rf,3100.0194205920347,13344.91729723978,2.5853941564408913,0.016693432386997054,4.76837158203125e-07
xt,3137.768733062457,13368.370638665412,2.598901285101155,0.013234124334719044,7.152557373046875e-07
ivf_rf,3095.8514648719556,13344.172164905754,2.5816573243884844,0.016803237947567662,3.454538583755493
swf_rf,3098.909711790582,13344.695770317874,2.584615093808562,0.016726078084886242,3.4210917949676514
owf_rf,3098.9266321991577,13344.664761641236,2.5864564462149873,0.016730647688898648,3.1504437923431396
mrf_rf,3068.0565656548088,13347.715290448117,2.505683231839237,0.016281054630895464,4.511721134185791
xgb,3164.420650663555,13119.376569746208,2.344049758278826,0.0023050037143105273,0.11025714874267578
rf,3071.7901547274096,13021.457147610387,2.4645406092582256,0.01714246759130733,7.152557373046875e-07
xt,3083.8992783723666,13033.411477833977,2.5365571579221178,0.01533701730513759,9.5367431640625e-07
ivf_rf,3069.2003669464375,13021.381363399074,2.4622129270857744,0.01715390791865823,3.633998394012451
swf_rf,3070.983210360611,13021.374924300018,2.4641368116235025,0.017154879957123503,3.327303409576416
owf_rf,3070.8887299481435,13021.410719909874,2.4629202800520686,0.017149476289841425,3.033759593963623
mrf_rf,3041.8044424437367,13026.088981658284,2.365337566912155,0.016443123024993733,4.8697829246521
xgb,3207.738225333822,13427.21099680561,2.312059609347583,0.002077221950746666,0.16673660278320312
rf,3082.5814062967834,13325.8225358614,2.381003062576415,0.01709089220342408,4.76837158203125e-07
xt,3109.4409081451777,13351.682108978077,2.343057109460858,0.013272400386583172,4.76837158203125e-07
ivf_rf,3078.8475584096464,13325.373557224157,2.381909437876485,0.017157124176160554,3.432856321334839
swf_rf,3081.5738726353525,13325.739319938339,2.381068832467217,0.017103168133571156,3.158045768737793
owf_rf,3081.5680569839487,13325.701928917764,2.3817825035097084,0.01710868399475085,2.908536195755005
mrf_rf,3047.00488662194,13326.608894251396,2.4666962713298175,0.016974885611492407,4.744404315948486
xgb,3092.3618599445076,7848.363480905199,1.8356554638397589,0.006244516976968706,0.10243511199951172
rf,3003.1952085621283,7702.106752111491,1.6756026079676967,0.042937304263015785,4.76837158203125e-07
xt,3003.7143217787825,7728.748858196652,1.708300976011329,0.0363047641986628,7.152557373046875e-07
ivf_rf,2999.509367645925,7702.376160027819,1.6709206666651941,0.042870349912892514,3.456040620803833
swf_rf,3002.1231694382036,7701.81605936206,1.6745126973548048,0.04300954577958671,3.162551164627075
owf_rf,3002.213993997548,7702.011880082078,1.6746469540148636,0.042960881687720165,2.9166135787963867
mrf_rf,2965.144657772048,7693.309811191046,1.635776228871116,0.04512226904346661,4.816357612609863
xgb,3145.871564757585,14227.659355735115,1.8521750066376852,0.002214230633988179,0.10709166526794434
rf,3017.9136764557916,14098.454767173022,1.650242129146887,0.020254180507113695,4.76837158203125e-07
xt,3038.896527346297,14136.45248916906,1.7124744546845447,0.01496590205114312,7.152557373046875e-07
ivf_rf,3014.1048736540456,14098.223656779168,1.6466265356789533,0.020286301415408436,3.9382965564727783
swf_rf,3016.863754704527,14098.496521666752,1.6491936612642712,0.02024837719718664,3.5145108699798584
owf_rf,3016.8852735623072,14098.539892824729,1.6490986012924314,0.020242349174594776,3.019420623779297
