method,mae,rmse,mape,r2,time
ivf_rf,0.519335884334407,0.663167454238233,0.09262557124159054,0.423962401588976,0.3793509006500244
swf_rf,0.5192925883568369,0.6631390760652355,0.09261825206788958,0.4240116999818909,0.27718019485473633
owf_rf,0.5193658283072021,0.6631912608216173,0.09263098371583768,0.4239210433070616,0.3173182010650635
mrf_rf,0.5182340203816245,0.6622101686808013,0.09248047666425603,0.4256242276396959,0.4409923553466797
xgb,0.5519639158248901,0.7025669096790295,0.09842724208633832,0.3474261939082005,0.0686030387878418
rf,0.5282548538720562,0.6750135209496273,0.09432606115657959,0.39760799440855865,4.76837158203125e-07
xt,0.5805267582094843,0.7317203784816251,0.10386440560162162,0.29214458920632447,7.152557373046875e-07
ivf_rf,0.5281462375364565,0.6749526465284098,0.09430607728847279,0.3977166399690991,0.37934422492980957
swf_rf,0.5281637374635658,0.6749763639083658,0.09430858425298426,0.39767431156475896,0.290569543838501
owf_rf,0.5282076750613268,0.6749929978436547,0.09431728588379353,0.3976446240956464,0.3928947448730469
mrf_rf,0.5277397527096748,0.675273272976786,0.0943464538217401,0.397144292139351,0.478456974029541
xgb,0.5641231331458458,0.7087899039058561,0.10046018245092099,0.36244072458984666,0.06304597854614258
rf,0.5328454566443562,0.6707081893321294,0.09509296403441361,0.42910959871047494,4.76837158203125e-07
xt,0.5858324646067629,0.7318751346715966,0.10471576609949212,0.3202338921632616,4.76837158203125e-07
ivf_rf,0.5327512418979377,0.6705958281741983,0.09507444593236275,0.42930086082566166,0.3774571418762207
swf_rf,0.5327476743037787,0.6706343212932475,0.0950752275560387,0.42923534112071005,0.28424763679504395
owf_rf,0.5328122728909132,0.6706750451474374,0.09508661068278915,0.42916602035457063,0.32129383087158203
mrf_rf,0.5322618865425811,0.6710488826062916,0.0950796869998885,0.42852947184791024,0.45606136322021484
xgb,0.5604388479086069,0.7109643562712031,0.10086390293488719,0.34511469562239305,0.06146526336669922
rf,0.5310996677893928,0.6798825517602163,0.09581721807628352,0.40112335048961134,4.76837158203125e-07
xt,0.5814507437590611,0.7388263582321297,0.10517404935925537,0.29278029906391134,2.384185791015625e-07
ivf_rf,0.5309960751694596,0.6798059394101816,0.09579811180181425,0.40125831133635914,0.3809807300567627
swf_rf,0.5310128448861623,0.679857526629659,0.09580124462234857,0.4011674366056106,0.2784461975097656
owf_rf,0.5310679991955314,0.6798678881982282,0.0958114026156031,0.40114918309893477,0.3155796527862549
mrf_rf,0.5311049629834615,0.681956840394703,0.09581924607121212,0.3974634888388596,0.4652218818664551
xgb,0.5439496106367845,0.7026543953134605,0.09554934140046437,0.3398273544282624,0.05924487113952637
rf,0.5203681937501822,0.6679045571651271,0.09136584524124261,0.4035104986593194,7.152557373046875e-07
xt,0.5700934683121582,0.723728080761321,0.10030288242256732,0.29963434927496946,4.76837158203125e-07
ivf_rf,0.5203067870873962,0.6678561101504563,0.09135509473956331,0.4035970292488691,0.3676879405975342
swf_rf,0.5202796526452346,0.6678602283612031,0.09135016422532664,0.40358967400974255,0.28087544441223145
owf_rf,0.5203451646699417,0.6679004831952288,0.09136158504194307,0.40351777536625544,0.3219726085662842
mrf_rf,0.5181390387849052,0.6670939037455765,0.09093195799939272,0.4049575701079784,0.44243502616882324
xgb,0.5351256253169133,0.6899806144615371,0.0933740263285072,0.349269015138873,0.051610469818115234
rf,0.5016551459235957,0.6487504121757361,0.08793430835668484,0.4247150643530113,4.76837158203125e-07
xt,0.5629432039512162,0.7209954668131818,0.09865986466101305,0.28945305503953656,7.152557373046875e-07
ivf_rf,0.5015930578586323,0.6486878134985586,0.08792244099560718,0.4248260788136493,0.37126874923706055
swf_rf,0.5015899512024309,0.6486930374935233,0.0879226475875368,0.42481681482655353,0.2835984230041504
owf_rf,0.5016432069012312,0.6487431129190341,0.08793229035353582,0.42472800963588253,0.3231678009033203
mrf_rf,0.5003565951354153,0.646983309032781,0.08786589996363418,0.427844783514848,0.4658362865447998
xgb,0.57319449534783,0.7320231187361035,0.10211235840926093,0.3224292292590174,0.05182361602783203
rf,0.542190201639594,0.7028290855509662,0.09678286066801081,0.37539634630270546,4.76837158203125e-07
xt,0.6002221151152554,0.761916271624399,0.10747703354470367,0.2659602717222751,4.76837158203125e-07
ivf_rf,0.5420741961903413,0.702701826324157,0.09676179032871587,0.3756225161737693,0.3785369396209717
swf_rf,0.5420713963237065,0.702735677932287,0.09676207626311702,0.37556235782433056,0.2769942283630371
owf_rf,0.5421421473220155,0.7027900123879338,0.09677413230165963,0.3754657929505443,0.322498083114624
mrf_rf,0.5416145551638077,0.7026658343311115,0.09674715914520922,0.37568647506414654,0.47538280487060547
xgb,0.5751251106995803,0.7329162804128545,0.1021938720660623,0.34823771931971303,0.04878377914428711
rf,0.5489841274574441,0.6996136442626143,0.09797936837501472,0.4061222878797788,4.76837158203125e-07
xt,0.6068729859530289,0.7692714701462819,0.10828883712543984,0.2819747158500756,7.152557373046875e-07
