method,mae,rmse,mape,r2,time
rf,16981.95006893972,424197.71187677246,17.448185836752867,-0.0001490166833957307,4.76837158203125e-07
xt,16945.32702842821,424194.0279233695,16.5212397912025,-0.00013164513106866949,9.5367431640625e-07
ivf_rf,16705.30457430748,424199.49062726146,17.58066748009828,-0.00015740437259159634,3.458641290664673
swf_rf,16963.403402438922,424197.2761915854,17.446210127686104,-0.00014696221739818327,3.6567628383636475
owf_rf,16963.51232675147,424197.1542687872,17.445368952582253,-0.00014638729292038022,4.8677754402160645
mrf_rf,16100.823987523992,424173.9926745071,17.679899502492635,-3.7172263096518776e-05,3.62762451171875
xgb,19254.29897227456,424430.09628030844,19.97270052814116,-0.0002897315529351019,0.27602672576904297
rf,17395.779573577634,424390.4284075384,17.30701024843411,-0.00010276313620072308,7.152557373046875e-07
xt,17193.375709612825,424393.2663506107,17.16221657981338,-0.00011613876396276979,4.76837158203125e-07
ivf_rf,17207.207194314375,424371.2649002521,16.758760654903373,-1.2445152601792131e-05,3.5249955654144287
swf_rf,17374.853716700396,424389.8096856929,17.27286063833999,-9.984702436249826e-05,3.760385513305664
owf_rf,17375.085090662946,424389.94353385764,17.274993560564024,-0.00010047786679612258,4.586593389511108
mrf_rf,16647.35285881482,424381.43713446485,15.778927154571194,-6.038658297402577e-05,3.6814565658569336
xgb,12696.523653724338,22038.841171727123,24.028608987650728,-0.005316668055558971,0.273073673248291
rf,12333.805843581584,21591.326566599637,23.409243375800497,0.03509618104841716,9.5367431640625e-07
xt,12186.026910994353,21600.921660914602,22.799488361851385,0.03423839212994195,7.152557373046875e-07
ivf_rf,11432.88306724131,21177.24499141606,20.619653585861666,0.0717514174813475,4.127946138381958
swf_rf,12221.445178049305,21524.082647588617,23.091103201562664,0.04109700522073889,4.592766046524048
owf_rf,12231.25738991583,21532.930871845525,23.07854033774206,0.04030846219009643,6.2273335456848145
mrf_rf,12171.45425259913,21450.420160575733,23.16590182387019,0.047649136816887094,5.210738897323608
xgb,12516.663124512734,18369.524868116125,19.448467389930773,-0.004809204468793515,0.29370927810668945
rf,11415.839475110743,17150.87999353009,16.71333497009384,0.12408780206992465,4.76837158203125e-07
xt,11223.076091151563,17259.461645775344,16.210191861822572,0.11296195237762408,4.76837158203125e-07
ivf_rf,10656.363919642856,16759.208091405948,15.556411632206725,0.16363712865742475,5.404561519622803
swf_rf,11248.249183280363,16973.676681851637,16.60254152543515,0.142094190319079,5.663694381713867
owf_rf,11234.141943671379,16959.714030095158,16.603536897949386,0.14350504707487188,7.064884662628174
mrf_rf,11090.312914888838,16754.00497179373,16.6458895376057,0.16415636805275302,6.2385313510894775
xgb,12717.4000058878,22871.08956091333,15.492711378930425,0.0021950022656324064,0.28806376457214355
rf,11560.500887782091,21795.921803337613,14.017488617424364,0.0938033590428865,4.76837158203125e-07
xt,11319.059595677543,21859.234874805607,13.078027028860879,0.0885310495063335,4.76837158203125e-07
ivf_rf,10936.296352811198,21486.534338395006,11.786438186938947,0.11934722210680826,4.923407316207886
swf_rf,11381.897521553146,21664.158264357364,13.662004558980948,0.10472675656538677,5.516624927520752
owf_rf,11388.428272497647,21670.862935592893,13.66902661737269,0.1041725285612013,6.883403301239014
mrf_rf,11239.758567613839,21526.949840213223,13.591299691839675,0.11603114543019866,6.304035663604736
xgb,12593.045234537421,22427.117865557335,17.629603890313174,-0.0008325601500740465,0.26839375495910645
rf,11399.8075169334,21409.700233318505,14.916993963833676,0.08791425530631614,4.76837158203125e-07
xt,11119.920675879026,21240.072891231714,14.361545622641563,0.10230976602621045,4.76837158203125e-07
ivf_rf,10698.923383533951,20968.062728105677,14.287564848834691,0.12515500971805404,5.207710266113281
swf_rf,11261.078566827267,21276.255180208445,14.83285572558433,0.09924874521475313,6.0358171463012695
owf_rf,11275.59653606627,21288.027323152164,14.834140603778271,0.09825169888590979,7.270351409912109
mrf_rf,11128.07148537841,21125.476395814298,14.8310327219764,0.11197024529198507,6.513354778289795
xgb,18940.552719147934,424242.9338589137,16.991065792052392,-0.00027913367927734356,0.2823629379272461
rf,17200.93660589796,424200.74720797664,14.453752999151165,-8.020836935718201e-05,4.76837158203125e-07
xt,17092.898599989036,424211.0808868981,13.879203050800696,-0.00012893357181442688,7.152557373046875e-07
ivf_rf,16954.40359818984,424194.9286984874,13.844287898481245,-5.277354604316109e-05,3.3148021697998047
swf_rf,17184.576767187915,424200.4060669476,14.433577329119428,-7.859984671099163e-05,3.496654510498047
owf_rf,17185.394756317,424200.44978394057,14.43457346015982,-7.880597773146647e-05,4.4855029582977295
mrf_rf,16480.260457091143,424174.7383786834,13.770218208560387,4.242280558763856e-05,3.6618666648864746
xgb,18586.021902611745,424143.401348901,17.54986070542062,-0.00019907225335269452,0.27736878395080566
rf,16715.354641948794,424115.39062839694,15.205573211511014,-6.696895307989337e-05,4.76837158203125e-07
xt,16684.82021828223,424118.06576552265,14.609776184824355,-7.958497585747182e-05,7.152557373046875e-07
ivf_rf,16427.051458531812,424102.57488037605,14.517565972374523,-6.530624654166317e-06,3.2284858226776123
swf_rf,16697.62717817031,424115.03869920364,15.184687226441888,-6.53092509166342e-05,3.6433844566345215
owf_rf,16697.21375971737,424114.9936139128,15.184508225016685,-6.509662826092999e-05,4.6291797161102295
mrf_rf,15984.111231557374,424104.49439815606,14.351946659246936,-1.558284349623129e-05,3.6218292713165283
xgb,12602.816097648129,18488.890716856426,17.034366208030278,-0.00025287592918599167,0.32985377311706543
rf,11327.193868333969,17202.62486055775,14.791399633367547,0.13408046910472526,7.152557373046875e-07
xt,11215.682986067735,17216.692503585753,14.111808578409759,0.1326636588552358,4.76837158203125e-07
ivf_rf,11006.838041928684,19115.82362230168,13.513242534492253,-0.06923736574612338,5.208508014678955
swf_rf,11187.719733691207,17043.17390148423,14.654329271961796,0.15005847341381717,5.863469839096069
owf_rf,11172.762217333702,17031.92985397158,14.634957742841172,0.15117958271794718,7.828468084335327
mrf_rf,11035.882061729866,16796.40989063958,14.696747379214399,0.1744924937613953,6.504516363143921
xgb,12376.731433130848,17906.826850477155,23.759931997876947,-0.004491259001800696,0.3095064163208008
rf,11270.650352215453,16801.817267237515,20.557465820445845,0.11565564559314623,4.76837158203125e-07
xt,11050.301803681743,16663.02618392663,19.207687964393195,0.13020552040842837,9.5367431640625e-07
ivf_rf,10340.76201774862,15920.963681648956,18.788111572820668,0.20595046320118227,5.298506498336792
swf_rf,11073.078962003774,16562.448370144535,20.285967830657107,0.14067396786010533,5.038269996643066
owf_rf,11069.03733722853,16563.21009449262,20.26825700924436,0.14059492343392332,7.259443283081055
mrf_rf,10898.884399595574,16292.083377493062,20.311634232163627,0.16850021467819543,6.264148235321045
xgb,19223.86925330529,424449.5675474178,19.138009163468485,-0.00029486058413819016,0.3062784671783447
rf,17399.824695366697,424409.89224854606,16.37285064512196,-0.00010786478665103516,7.152557373046875e-07
xt,17328.52219337221,424407.9568480318,15.354146116405683,-9.874339293314272e-05,7.152557373046875e-07
ivf_rf,17233.465408258948,424415.8053694324,15.872482490922085,-0.0001357331281233165,3.216092109680176
swf_rf,17379.672298860398,424409.34892255,16.348315371926436,-0.0001053041288345824,3.6443350315093994
owf_rf,17379.603331411614,424409.2178266923,16.346925808737705,-0.00010468628362092502,4.847700357437134
mrf_rf,16615.877813811712,424368.90922378306,15.384466162474775,8.527617055120729e-05,3.6199452877044678
xgb,12244.762508527157,17068.152443164094,21.619222600210527,-0.014180753803785251,0.29221177101135254
rf,11139.600673866275,15988.942823467445,17.944735462328417,0.1100167409839874,7.152557373046875e-07
xt,11128.193053603767,16186.199214465945,17.080114981020053,0.08792174666248675,4.76837158203125e-07
ivf_rf,10310.444937697437,15214.497772267909,16.307140190550115,0.19414374655016509,4.849360704421997
swf_rf,10926.178049701137,15697.43451460115,17.753663615189886,0.14217302576396262,5.53290319442749
owf_rf,10937.422968549072,15711.347821951636,17.75898627951094,0.1406516944051872,6.81577730178833
mrf_rf,10732.571483520067,15387.40612045541,17.72179029785505,0.17572302035264442,6.403732776641846
