method,accuracy,f1_score,prauc,roc,aps,precision,recall,elapsed
xt,0.861583292860612,0.5269709543568465,0.550173445896649,0.8994068557367457,0.5505445796934202,0.4284750337381916,0.6842672413793104,0.7369832992553711
ivf_rf,0.8567265662943176,0.5885634588563459,0.6509623486915774,0.9392577866957326,0.6512199940449777,0.4350515463917526,0.9094827586206896,10.920166969299316
swf_rf,0.8564837299660029,0.5875785066294487,0.6503004814709389,0.9390460442500425,0.6505578665022351,0.434468524251806,0.9073275862068966,2.5206429958343506
owf_rf,0.8564837299660029,0.5875785066294487,0.650305341145668,0.9390481085914348,0.6505627440532115,0.434468524251806,0.9073275862068966,2.330977439880371
mrf_rf,0.8596406022340942,0.5952380952380952,0.6658550284710013,0.9429006119887511,0.6661153681941814,0.4408713692946058,0.915948275862069,25.8637535572052
xgb,0.9154929577464789,0.5498059508408797,0.670855614485153,0.9479836840354453,0.6711272187269901,0.6877022653721683,0.4579741379310345,0.2529170513153076
rf,0.8547838756677999,0.5861591695501729,0.6285179253292067,0.937716829572693,0.6288233431475824,0.43170234454638123,0.9127155172413793,0.8063023090362549
xt,0.8549052938319572,0.5144250304754165,0.5403559970465572,0.9001598979861464,0.5407483685184559,0.41291585127201563,0.6821120689655172,0.7576425075531006
ivf_rf,0.8552695483244294,0.5872576177285319,0.6293648458037836,0.9380283976700073,0.629673732565776,0.4326530612244898,0.9137931034482759,11.336761951446533
swf_rf,0.8550267119961146,0.5868512110726644,0.628807374291061,0.9378058911584848,0.6291126242119415,0.4322120285423038,0.9137931034482759,2.5788586139678955
owf_rf,0.8550267119961146,0.5868512110726644,0.6288200012562047,0.9378076605939641,0.6291252316466868,0.4322120285423038,0.9137931034482759,2.4278461933135986
mrf_rf,0.8553909664885867,0.5905809556548641,0.6485656670467332,0.9439868241936092,0.6488530590279377,0.4336193841494195,0.9256465517241379,26.226502418518066
xgb,0.9147644487615347,0.5634328358208955,0.644043966067566,0.9469373578553498,0.6445477782424182,0.6661764705882353,0.48814655172413796,0.23464322090148926
rf,0.856847984458475,0.589055420006971,0.6159068830714605,0.9392793148273975,0.6163165695378401,0.4353426069036579,0.9105603448275862,0.7891509532928467
xt,0.8572122389509471,0.5231143552311436,0.5313706868362005,0.9011038918143556,0.5318909937157819,0.41937581274382313,0.6950431034482759,0.8053445816040039
ivf_rf,0.8569694026226323,0.5892608089260809,0.6168105069965808,0.9395429607138138,0.6172182075372471,0.43556701030927836,0.9105603448275862,11.557994604110718
swf_rf,0.856847984458475,0.589055420006971,0.6162844843036513,0.9393878402034616,0.616693817679816,0.4353426069036579,0.9105603448275862,2.6413192749023438
owf_rf,0.856847984458475,0.589055420006971,0.6162624484404828,0.9393863656738953,0.6166720429038998,0.4353426069036579,0.9105603448275862,2.5101428031921387
mrf_rf,0.8575764934434191,0.5934142114384748,0.6291358605923971,0.9445938142894892,0.6296913813186716,0.43740419008686765,0.9224137931034483,25.82396364212036
xgb,0.9110004856726567,0.4848910751932537,0.6551864107554539,0.9462528812307722,0.6556691987934496,0.696969696969697,0.37176724137931033,0.11433672904968262
rf,0.8578193297717338,0.5901295064753237,0.6270149264611631,0.938037760932752,0.6273496323299752,0.4370139968895801,0.9084051724137931,0.7693116664886475
xt,0.8541767848470131,0.5075850758507585,0.5252136950556489,0.8914775729951118,0.5256087935742672,0.40966247518199866,0.6670258620689655,0.7212088108062744
ivf_rf,0.8575764934434191,0.5891418563922942,0.6282332364412505,0.9384016748296624,0.6285674636642201,0.43642968344577066,0.90625,11.214877128601074
swf_rf,0.8574550752792618,0.5895104895104895,0.6273484704288675,0.9381440745144668,0.6276831241672568,0.4363354037267081,0.9084051724137931,2.685178279876709
owf_rf,0.8574550752792618,0.5895104895104895,0.6273204734513612,0.9381414203612478,0.6276551892270493,0.4363354037267081,0.9084051724137931,2.3589327335357666
mrf_rf,0.860611947547353,0.5971929824561403,0.6506617497992555,0.9448929963384481,0.6511499308292094,0.4427679500520291,0.9170258620689655,26.653737545013428
xgb,0.9139145216124333,0.5086625086625085,0.6560081076253667,0.9467409505171471,0.6568703089447219,0.7126213592233009,0.3954741379310345,0.14690613746643066
rf,0.8522340942204953,0.5833618623758987,0.62792697595996,0.9405362038295303,0.6284813992910748,0.42749623682890114,0.9181034482758621,0.7888381481170654
xt,0.8557552209810587,0.5221238938053097,0.534103093042006,0.897907259168035,0.5345449548763952,0.4165596919127086,0.6993534482758621,0.7833817005157471
ivf_rf,0.8523555123846528,0.5841313269493844,0.6293814994471179,0.9409554125851688,0.6299287436745232,0.4278557114228457,0.9202586206896551,11.471659660339355
