method,accuracy,f1_micro,f1_macro,elapsed
xgb,0.7536723163841808,0.7536723163841808,0.6620372294313344,0.09833216667175293
rf,0.7310734463276836,0.7310734463276836,0.6799311890599791,0.2365109920501709
xt,0.7220338983050848,0.7220338983050848,0.6781670261652226,0.41870975494384766
ivf_rf,0.7310734463276836,0.7310734463276836,0.6791387578616589,0.7443678379058838
swf_rf,0.6858757062146893,0.6858757062146893,0.4942334750191109,0.33072900772094727
owf_rf,0.6858757062146893,0.6858757062146893,0.4942334750191109,0.34640979766845703
mrf_rf,0.7333333333333333,0.7333333333333333,0.6824015014668351,1.987201452255249
xgb,0.7672316384180791,0.7672316384180791,0.668466823971209,0.09154176712036133
rf,0.7706214689265537,0.7706214689265537,0.7179822581429,0.2293400764465332
xt,0.7468926553672316,0.7468926553672317,0.695309394517389,0.18953299522399902
ivf_rf,0.7694915254237288,0.7694915254237288,0.7167213730671568,0.7748055458068848
swf_rf,0.7163841807909604,0.7163841807909604,0.5241950596506305,0.3290219306945801
owf_rf,0.7175141242937854,0.7175141242937854,0.5250785047533015,0.33789920806884766
mrf_rf,0.7672316384180791,0.7672316384180791,0.7158644202044929,1.9784858226776123
xgb,0.7785310734463277,0.7785310734463277,0.698917114005197,0.08601856231689453
rf,0.7581920903954802,0.7581920903954802,0.7094044394921873,0.23512983322143555
xt,0.7457627118644068,0.7457627118644068,0.7007685688714259,0.4202282428741455
ivf_rf,0.7570621468926554,0.7570621468926554,0.7076271408756903,0.7376999855041504
swf_rf,0.7107344632768362,0.7107344632768362,0.5185034337259651,0.32572054862976074
owf_rf,0.7107344632768362,0.7107344632768362,0.5185034337259651,0.33429861068725586
mrf_rf,0.7627118644067796,0.7627118644067796,0.7144490650663173,1.9922189712524414
xgb,0.7615819209039548,0.7615819209039548,0.6571779757783011,0.08570384979248047
rf,0.7412429378531074,0.7412429378531072,0.6867415391190242,0.22871828079223633
xt,0.7333333333333333,0.7333333333333333,0.6880062756918356,0.19681906700134277
ivf_rf,0.7457627118644068,0.7457627118644068,0.6939788863931072,0.754281759262085
swf_rf,0.7062146892655368,0.7062146892655368,0.5129568554354252,0.329082727432251
owf_rf,0.7073446327683616,0.7073446327683616,0.513825401417619,0.33676910400390625
mrf_rf,0.7559322033898305,0.7559322033898305,0.7034215700738665,2.033884048461914
xgb,0.7412429378531074,0.7412429378531072,0.6467383934129364,0.08849668502807617
rf,0.7344632768361582,0.7344632768361582,0.6938608774387194,0.23838353157043457
xt,0.7062146892655368,0.7062146892655368,0.6711770162364133,0.19961166381835938
ivf_rf,0.735593220338983,0.735593220338983,0.6961608166624079,0.7338531017303467
swf_rf,0.7005649717514124,0.7005649717514124,0.509354087867326,0.3233335018157959
owf_rf,0.7005649717514124,0.7005649717514124,0.509354087867326,0.3322176933288574
mrf_rf,0.7389830508474576,0.7389830508474577,0.7018150501837378,1.988896131515503
xgb,0.7604519774011299,0.76045197740113,0.6629766950724106,0.04789996147155762
rf,0.768361581920904,0.768361581920904,0.7217378083695657,0.24591922760009766
xt,0.752542372881356,0.752542372881356,0.7113917631290945,0.1955583095550537
ivf_rf,0.7706214689265537,0.7706214689265537,0.7249707386899761,0.7415504455566406
swf_rf,0.7096045197740113,0.7096045197740113,0.5188670002576319,0.3194453716278076
owf_rf,0.7096045197740113,0.7096045197740113,0.5188670002576319,0.33460497856140137
mrf_rf,0.7751412429378531,0.775141242937853,0.7272096474748522,2.0082154273986816
xgb,0.7548022598870057,0.7548022598870057,0.6737652804744081,0.06816363334655762
rf,0.752542372881356,0.752542372881356,0.708384707862852,0.23335480690002441
xt,0.7129943502824859,0.7129943502824859,0.6695252460515815,0.4012167453765869
ivf_rf,0.751412429378531,0.751412429378531,0.707273840301405,0.7432610988616943
swf_rf,0.6858757062146893,0.6858757062146893,0.4955713586658503,0.31244325637817383
owf_rf,0.6858757062146893,0.6858757062146893,0.4955713586658503,0.3386979103088379
mrf_rf,0.7446327683615819,0.7446327683615818,0.699181298660954,2.0122435092926025
xgb,0.7480225988700565,0.7480225988700564,0.6403271331651404,0.06929588317871094
rf,0.7231638418079096,0.7231638418079096,0.660171544994962,0.23304057121276855
xt,0.7096045197740113,0.7096045197740113,0.6588609588624462,0.4192988872528076
ivf_rf,0.7231638418079096,0.7231638418079096,0.6602260494204378,0.7660918235778809
swf_rf,0.7016949152542373,0.7016949152542373,0.5062917732242279,0.34110188484191895
owf_rf,0.7016949152542373,0.7016949152542373,0.5062917732242279,0.349900484085083
mrf_rf,0.7175141242937854,0.7175141242937854,0.6546991582136541,2.0258548259735107
xgb,0.7661016949152543,0.7661016949152541,0.6889566130516064,0.09118390083312988
rf,0.752542372881356,0.752542372881356,0.7106091665317793,0.23139405250549316
xt,0.7310734463276836,0.7310734463276836,0.6897081330993607,0.19544100761413574
ivf_rf,0.7536723163841808,0.7536723163841808,0.7114179216584295,0.7281308174133301
swf_rf,0.7096045197740113,0.7096045197740113,0.5178247595436494,0.3197360038757324
owf_rf,0.7096045197740113,0.7096045197740113,0.5178247595436494,0.33656787872314453
mrf_rf,0.752542372881356,0.752542372881356,0.710667572710392,2.003201723098755
xgb,0.7638418079096045,0.7638418079096045,0.6657369391445721,0.06945204734802246
rf,0.7435028248587571,0.7435028248587571,0.6893506847966052,0.23085308074951172
xt,0.7322033898305085,0.7322033898305085,0.6815823549474245,0.199415922164917
ivf_rf,0.7446327683615819,0.7446327683615818,0.690083285529206,0.7418575286865234
swf_rf,0.6892655367231638,0.6892655367231638,0.4975690613117813,0.3223860263824463
owf_rf,0.6892655367231638,0.6892655367231638,0.4975690613117813,0.3537764549255371
mrf_rf,0.7559322033898305,0.7559322033898305,0.7058698776069082,1.9342358112335205
xgb,0.7559322033898305,0.7559322033898305,0.6565532643136491,0.06714439392089844
rf,0.7457627118644068,0.7457627118644068,0.6955510161468664,0.24519824981689453
xt,0.7231638418079096,0.7231638418079096,0.6767767083269343,0.4215235710144043
ivf_rf,0.7468926553672316,0.7468926553672317,0.6964487818584963,0.7370166778564453
swf_rf,0.6926553672316385,0.6926553672316385,0.5009573221962602,0.3190760612487793
owf_rf,0.6926553672316385,0.6926553672316385,0.5009573221962602,0.3415713310241699
mrf_rf,0.7401129943502824,0.7401129943502824,0.6876763473433516,1.9606873989105225
xgb,0.7491525423728813,0.7491525423728814,0.6599296574667776,0.07264423370361328
rf,0.7333333333333333,0.7333333333333333,0.6855066942888305,0.23485755920410156
xt,0.7163841807909604,0.7163841807909604,0.6707605387099616,0.4151432514190674
ivf_rf,0.7322033898305085,0.7322033898305085,0.6836797634499435,0.7471895217895508
swf_rf,0.6915254237288135,0.6915254237288135,0.4994641212726491,0.3155076503753662
owf_rf,0.6915254237288135,0.6915254237288135,0.4994641212726491,0.34172677993774414
mrf_rf,0.7378531073446327,0.7378531073446326,0.6884283011357916,2.016418933868408
xgb,0.7627118644067796,0.7627118644067796,0.6596310081286534,0.06583309173583984
rf,0.7615819209039548,0.7615819209039548,0.7087217946309954,0.22875761985778809
xt,0.7457627118644068,0.7457627118644068,0.6992684280131796,0.404712438583374
ivf_rf,0.7604519774011299,0.76045197740113,0.707440223572296,0.7533719539642334
swf_rf,0.711864406779661,0.711864406779661,0.51809300930093,0.32689642906188965
