method,accuracy,f1_micro,f1_macro,elapsed
swf_rf,0.857847976307996,0.857847976307996,0.4786011493471678,0.38703489303588867
owf_rf,0.857847976307996,0.857847976307996,0.4786011493471678,0.403794527053833
mrf_rf,0.9975320829220138,0.9975320829220138,0.9913067626142497,2.6146163940429688
xgb,0.9950641658440277,0.9950641658440277,0.9827193691133118,0.1743006706237793
rf,0.9960513326752222,0.9960513326752222,0.9862436231995224,0.26641178131103516
xt,0.9955577492596249,0.9955577492596249,0.9845022174104574,0.21344208717346191
ivf_rf,0.9960513326752222,0.9960513326752222,0.9862436231995224,0.9632644653320312
swf_rf,0.8568608094768015,0.8568608094768015,0.47575874281658015,0.36946606636047363
owf_rf,0.8568608094768015,0.8568608094768015,0.47575874281658015,0.39724230766296387
mrf_rf,0.9960513326752222,0.9960513326752222,0.9862436231995224,2.705962896347046
xgb,0.9945705824284304,0.9945705824284304,0.9818631289230006,0.21746206283569336
rf,0.9960513326752222,0.9960513326752222,0.9856195497219896,0.26372385025024414
xt,0.9955577492596249,0.9955577492596249,0.9846730699966798,0.22325825691223145
ivf_rf,0.9960513326752222,0.9960513326752222,0.9856195497219896,0.9593560695648193
swf_rf,0.857847976307996,0.857847976307996,0.4786011493471678,0.4052438735961914
owf_rf,0.857847976307996,0.857847976307996,0.4786011493471678,0.39351511001586914
mrf_rf,0.9960513326752222,0.9960513326752222,0.9856195497219896,2.6096739768981934
xgb,0.9965449160908193,0.9965449160908193,0.9900287926539824,0.1653296947479248
rf,0.9965449160908193,0.9965449160908193,0.9888813806796796,0.2709653377532959
xt,0.9975320829220138,0.9975320829220138,0.991619856896149,0.21320438385009766
ivf_rf,0.9965449160908193,0.9965449160908193,0.9888813806796796,0.9754090309143066
swf_rf,0.8573543928923988,0.8573543928923988,0.47846144551928294,0.38171887397766113
owf_rf,0.8573543928923988,0.8573543928923988,0.47846144551928294,0.41083788871765137
mrf_rf,0.9975320829220138,0.9975320829220138,0.9923554359064084,2.681892156600952
xgb,0.9970384995064165,0.9970384995064165,0.9895652173913043,0.15770292282104492
rf,0.9975320829220138,0.9975320829220138,0.9913017215342798,0.2712702751159668
xt,0.9975320829220138,0.9975320829220138,0.9920972582927542,0.22987079620361328
ivf_rf,0.9970384995064165,0.9970384995064165,0.990411693284972,1.0670154094696045
swf_rf,0.857847976307996,0.857847976307996,0.4798882681564246,0.41811084747314453
owf_rf,0.857847976307996,0.857847976307996,0.4798882681564246,0.4125552177429199
mrf_rf,0.9975320829220138,0.9975320829220138,0.9913017215342798,2.7903504371643066
xgb,0.9945705824284304,0.9945705824284304,0.9812526157992675,0.5001623630523682
rf,0.9960513326752222,0.9960513326752222,0.9860943459997102,0.26193833351135254
xt,0.9970384995064165,0.9970384995064165,0.9903675981758817,0.2285161018371582
ivf_rf,0.9960513326752222,0.9960513326752222,0.9860943459997102,0.9619307518005371
swf_rf,0.857847976307996,0.857847976307996,0.4798882681564246,0.38317322731018066
owf_rf,0.857847976307996,0.857847976307996,0.4798882681564246,0.38770484924316406
mrf_rf,0.9965449160908193,0.9965449160908193,0.9878294676599496,2.599996566772461
xgb,0.993583415597236,0.993583415597236,0.9780368534406431,0.2825596332550049
rf,0.9960513326752222,0.9960513326752222,0.9856500689517559,0.27770519256591797
xt,0.9955577492596249,0.9955577492596249,0.983914551565064,0.22210240364074707
ivf_rf,0.9960513326752222,0.9960513326752222,0.9863874288261258,0.9315245151519775
swf_rf,0.8573543928923988,0.8573543928923988,0.4784579512698318,0.3787109851837158
owf_rf,0.8573543928923988,0.8573543928923988,0.4784579512698318,0.42430996894836426
mrf_rf,0.9960513326752222,0.9960513326752222,0.9856500689517559,2.6207289695739746
xgb,0.9925962487660415,0.9925962487660415,0.9739122220017893,0.2872500419616699
rf,0.9965449160908193,0.9965449160908193,0.9881367714136795,0.269989013671875
xt,0.9960513326752222,0.9960513326752222,0.9864419660561965,0.217759370803833
ivf_rf,0.9965449160908193,0.9965449160908193,0.9881367714136795,0.955007791519165
swf_rf,0.8573543928923988,0.8573543928923988,0.4784579512698318,0.38134050369262695
owf_rf,0.8573543928923988,0.8573543928923988,0.4784579512698318,0.39744114875793457
mrf_rf,0.9970384995064165,0.9970384995064165,0.9898722744540706,2.7235074043273926
xgb,0.9950641658440277,0.9950641658440277,0.9824367142934828,0.18175196647644043
rf,0.9960513326752222,0.9960513326752222,0.9851687090817526,0.27458930015563965
xt,0.9975320829220138,0.9975320829220138,0.9916334373599073,0.2173902988433838
ivf_rf,0.9960513326752222,0.9960513326752222,0.9851687090817526,0.9555516242980957
swf_rf,0.8573543928923988,0.8573543928923988,0.4784579512698318,0.38546252250671387
owf_rf,0.8573543928923988,0.8573543928923988,0.4784579512698318,0.41108012199401855
mrf_rf,0.9970384995064165,0.9970384995064165,0.9891179136373407,2.697228193283081
xgb,0.9940769990128332,0.9940769990128332,0.9807767841876779,0.18636298179626465
rf,0.9955577492596249,0.9955577492596249,0.9842067050141857,0.2870144844055176
xt,0.9940769990128332,0.9940769990128332,0.982196521690697,0.21242046356201172
ivf_rf,0.9955577492596249,0.9955577492596249,0.9842067050141857,0.9928622245788574
swf_rf,0.8573543928923988,0.8573543928923988,0.47718885422864943,0.37726879119873047
owf_rf,0.8573543928923988,0.8573543928923988,0.47718885422864943,0.40696287155151367
mrf_rf,0.9965449160908193,0.9965449160908193,0.9876896707785932,2.641083002090454
xgb,0.9955577492596249,0.9955577492596249,0.983914551565064,0.30045652389526367
rf,0.9960513326752222,0.9960513326752222,0.9856500689517559,0.26462745666503906
xt,0.9960513326752222,0.9960513326752222,0.9856493650175466,0.22353315353393555
ivf_rf,0.9955577492596249,0.9955577492596249,0.983915265062806,0.9451498985290527
swf_rf,0.8573543928923988,0.8573543928923988,0.4784579512698318,0.38141798973083496
owf_rf,0.8573543928923988,0.8573543928923988,0.4784579512698318,0.3951094150543213
mrf_rf,0.9960513326752222,0.9960513326752222,0.9856500689517559,2.6961443424224854
xgb,0.9955577492596249,0.9955577492596249,0.9838786464685745,0.18421268463134766
rf,0.9965449160908193,0.9965449160908193,0.9873607093031553,0.26667046546936035
xt,0.9970384995064165,0.9970384995064165,0.9895752895752896,0.21624159812927246
ivf_rf,0.9965449160908193,0.9965449160908193,0.9873607093031553,0.9591326713562012
swf_rf,0.857847976307996,0.857847976307996,0.4786011493471678,0.38260602951049805
owf_rf,0.857847976307996,0.857847976307996,0.4786011493471678,0.39909815788269043
mrf_rf,0.9975320829220138,0.9975320829220138,0.9908448582361626,2.6396336555480957
