method,accuracy,f1_micro,f1_macro,elapsed
mrf_rf,0.7429305912596401,0.7429305912596401,0.7847242145070535,2.827362298965454
xgb,0.7634961439588689,0.7634961439588689,0.7655674462597435,0.13507080078125
rf,0.7403598971722365,0.7403598971722365,0.7735330546283802,0.24548721313476562
xt,0.7043701799485861,0.7043701799485861,0.7123337756581043,0.2059018611907959
ivf_rf,0.7377892030848329,0.7377892030848329,0.7652890797121868,0.6793169975280762
swf_rf,0.4190231362467866,0.4190231362467866,0.16151536559519603,0.36452221870422363
owf_rf,0.4190231362467866,0.4190231362467866,0.16151536559519603,0.32657909393310547
mrf_rf,0.7583547557840618,0.7583547557840619,0.7778554249212003,2.6353936195373535
xgb,0.7634961439588689,0.7634961439588689,0.7779218758210354,0.1376323699951172
rf,0.7172236503856041,0.7172236503856041,0.7399415877065719,0.23892807960510254
xt,0.6709511568123393,0.6709511568123393,0.6733138095355173,0.19311118125915527
ivf_rf,0.7172236503856041,0.7172236503856041,0.7399415877065719,0.6955661773681641
swf_rf,0.4087403598971722,0.4087403598971722,0.15503664152228055,0.31025171279907227
owf_rf,0.4087403598971722,0.4087403598971722,0.15503664152228055,0.3323523998260498
mrf_rf,0.7403598971722365,0.7403598971722365,0.7607629257466104,2.8230457305908203
xgb,0.7532133676092545,0.7532133676092546,0.7594535370002033,0.13341712951660156
rf,0.7429305912596401,0.7429305912596401,0.7721709332628873,0.23697376251220703
xt,0.7197943444730077,0.7197943444730077,0.7429863174716456,0.1956939697265625
ivf_rf,0.7429305912596401,0.7429305912596401,0.7721709332628873,0.6881792545318604
swf_rf,0.40616966580976865,0.40616966580976865,0.15398429632006275,0.3421823978424072
owf_rf,0.40616966580976865,0.40616966580976865,0.15398429632006275,0.3371710777282715
mrf_rf,0.7352185089974294,0.7352185089974294,0.7624086910641777,2.8394558429718018
xgb,0.7557840616966581,0.7557840616966581,0.7330012254965632,0.12231612205505371
rf,0.7069408740359897,0.7069408740359897,0.7367991241672837,0.24199867248535156
xt,0.6735218508997429,0.6735218508997429,0.6761989128127663,0.18929791450500488
ivf_rf,0.7043701799485861,0.7043701799485861,0.7353223262744806,0.6927661895751953
swf_rf,0.42159383033419023,0.42159383033419023,0.16059731023234672,0.30664658546447754
owf_rf,0.42159383033419023,0.42159383033419023,0.16059731023234672,0.34452176094055176
mrf_rf,0.7223650385604113,0.7223650385604113,0.7341149983021904,2.723529577255249
xgb,0.7609254498714653,0.7609254498714653,0.776195646671777,0.7513241767883301
rf,0.7377892030848329,0.7377892030848329,0.7851440721861296,0.25255370140075684
xt,0.6786632390745502,0.6786632390745502,0.6907825481534247,0.20121335983276367
ivf_rf,0.7377892030848329,0.7377892030848329,0.7851440721861296,0.6966733932495117
