method,accuracy,f1_micro,f1_macro,elapsed
mrf_rf,0.9696969696969697,0.9696969696969697,0.9698577598771287,2.6608335971832275
xgb,0.974025974025974,0.974025974025974,0.9739993726962839,0.12357783317565918
rf,0.974025974025974,0.974025974025974,0.9739588823016604,0.24465703964233398
xt,0.9523809523809523,0.9523809523809523,0.9519868086678951,0.19544386863708496
ivf_rf,0.974025974025974,0.974025974025974,0.9739588823016604,0.6888809204101562
swf_rf,0.2792207792207792,0.2792207792207792,0.1791019325502084,0.2961769104003906
owf_rf,0.2792207792207792,0.2792207792207792,0.1791019325502084,0.33419084548950195
mrf_rf,0.974025974025974,0.974025974025974,0.9739974814227536,2.630584239959717
xgb,0.9718614718614719,0.9718614718614719,0.9717041162611111,0.1286158561706543
rf,0.974025974025974,0.974025974025974,0.9737485638117581,0.2850973606109619
xt,0.961038961038961,0.961038961038961,0.9608500515032121,0.1948261260986328
ivf_rf,0.974025974025974,0.974025974025974,0.9737485638117581,0.6931061744689941
swf_rf,0.2727272727272727,0.2727272727272727,0.17634746206174778,0.3032040596008301
owf_rf,0.2727272727272727,0.2727272727272727,0.17634746206174778,0.3234376907348633
mrf_rf,0.9761904761904762,0.9761904761904762,0.9759988087218867,2.72418475151062
xgb,0.9675324675324676,0.9675324675324676,0.9678989600331211,0.1266169548034668
rf,0.9653679653679653,0.9653679653679653,0.9655128089496453,0.24016618728637695
xt,0.948051948051948,0.948051948051948,0.9484449083526094,0.1921546459197998
ivf_rf,0.9653679653679653,0.9653679653679653,0.9655128089496453,0.6837687492370605
swf_rf,0.2748917748917749,0.2748917748917749,0.17662668608215817,0.3052043914794922
owf_rf,0.2748917748917749,0.2748917748917749,0.17662668608215817,0.3215632438659668
mrf_rf,0.9675324675324676,0.9675324675324676,0.9675509521421449,2.5366387367248535
xgb,0.9653679653679653,0.9653679653679653,0.9652440013342269,0.3271465301513672
rf,0.9588744588744589,0.9588744588744589,0.9589650672357439,0.2360079288482666
xt,0.9437229437229437,0.9437229437229437,0.9436603798114083,0.1890108585357666
ivf_rf,0.9588744588744589,0.9588744588744589,0.9589650672357439,0.7286303043365479
swf_rf,0.2597402597402597,0.2597402597402597,0.16835443037974684,0.29941678047180176
owf_rf,0.2597402597402597,0.2597402597402597,0.16835443037974684,0.3299999237060547
mrf_rf,0.961038961038961,0.961038961038961,0.9611466007149873,2.643164873123169
xgb,0.9415584415584416,0.9415584415584416,0.9413572568963398,0.21311330795288086
rf,0.948051948051948,0.948051948051948,0.9475941412454184,0.23392081260681152
xt,0.9242424242424242,0.9242424242424242,0.9237452830323644,0.19019842147827148
ivf_rf,0.948051948051948,0.948051948051948,0.9475941412454184,0.6994030475616455
swf_rf,0.2619047619047619,0.2619047619047619,0.16973723950468136,0.3229336738586426
owf_rf,0.2619047619047619,0.2619047619047619,0.16973723950468136,0.3151743412017822
mrf_rf,0.9545454545454546,0.9545454545454546,0.9539364958301445,2.577204465866089
xgb,0.9567099567099567,0.9567099567099567,0.9565761597623529,0.18731069564819336
rf,0.9653679653679653,0.9653679653679653,0.9653542729048036,0.2404789924621582
xt,0.9329004329004329,0.9329004329004329,0.9318797962451363,0.19518280029296875
ivf_rf,0.9653679653679653,0.9653679653679653,0.9653542729048036,0.7044308185577393
swf_rf,0.2662337662337662,0.2662337662337662,0.1714579860770664,0.3081045150756836
owf_rf,0.2662337662337662,0.2662337662337662,0.1714579860770664,0.324662446975708
mrf_rf,0.9696969696969697,0.9696969696969697,0.9695605378011286,2.629822015762329
xgb,0.9718614718614719,0.9718614718614719,0.971854958691192,0.5591878890991211
rf,0.9718614718614719,0.9718614718614719,0.9718934098571577,0.2536025047302246
xt,0.935064935064935,0.935064935064935,0.9346765470329607,0.20074224472045898
ivf_rf,0.9718614718614719,0.9718614718614719,0.9718934098571577,0.7095530033111572
swf_rf,0.2727272727272727,0.2727272727272727,0.17634746206174778,0.30226635932922363
owf_rf,0.2727272727272727,0.2727272727272727,0.17634746206174778,0.3308844566345215
mrf_rf,0.9718614718614719,0.9718614718614719,0.9719956446228625,2.7106075286865234
xgb,0.9567099567099567,0.9567099567099567,0.9567818920497491,0.15233993530273438
rf,0.9632034632034632,0.9632034632034632,0.9632314986450065,0.2514960765838623
xt,0.9588744588744589,0.9588744588744589,0.9588950166369484,0.20884060859680176
ivf_rf,0.9632034632034632,0.9632034632034632,0.9632314986450065,0.7300693988800049
swf_rf,0.2683982683982684,0.2683982683982684,0.17376213354250417,0.3027040958404541
owf_rf,0.2683982683982684,0.2683982683982684,0.17376213354250417,0.3252544403076172
mrf_rf,0.9632034632034632,0.9632034632034632,0.9632314986450065,2.667736768722534
xgb,0.9567099567099567,0.9567099567099567,0.9570352272086013,0.22320985794067383
rf,0.9567099567099567,0.9567099567099567,0.9568049146270986,0.25374674797058105
xt,0.948051948051948,0.948051948051948,0.9482710744536714,0.20183181762695312
ivf_rf,0.9567099567099567,0.9567099567099567,0.9568049146270986,0.7165393829345703
swf_rf,0.26406926406926406,0.26406926406926406,0.17109911483348547,0.3255007266998291
owf_rf,0.26406926406926406,0.26406926406926406,0.17109911483348547,0.34835124015808105
mrf_rf,0.9653679653679653,0.9653679653679653,0.9652444883822427,2.784912586212158
xgb,0.9567099567099567,0.9567099567099567,0.9566116300735541,0.5412924289703369
rf,0.9502164502164502,0.9502164502164502,0.9502240027154301,0.23953866958618164
xt,0.9329004329004329,0.9329004329004329,0.932323226925404,0.19321489334106445
ivf_rf,0.9502164502164502,0.9502164502164502,0.9502240027154301,0.7233555316925049
swf_rf,0.2683982683982684,0.2683982683982684,0.17376213354250417,0.31018662452697754
owf_rf,0.2683982683982684,0.2683982683982684,0.17376213354250417,0.32934021949768066
mrf_rf,0.9523809523809523,0.9523809523809523,0.9525143029667651,2.7956297397613525
xgb,0.9653679653679653,0.9653679653679653,0.9654747226552204,0.1297764778137207
rf,0.9696969696969697,0.9696969696969697,0.9698250756146435,0.23444223403930664
xt,0.9523809523809523,0.9523809523809523,0.9524995262775476,0.1950693130493164
ivf_rf,0.9696969696969697,0.9696969696969697,0.9698250756146435,0.6932497024536133
swf_rf,0.2619047619047619,0.2619047619047619,0.16875719445877824,0.33284521102905273
owf_rf,0.2619047619047619,0.2619047619047619,0.16875719445877824,0.32629990577697754
mrf_rf,0.9718614718614719,0.9718614718614719,0.9719336044886111,2.6455955505371094
xgb,0.9437229437229437,0.9437229437229437,0.944162060450185,0.14635181427001953
rf,0.948051948051948,0.948051948051948,0.948064986726526,0.250457763671875
xt,0.9372294372294372,0.9372294372294372,0.9368447388595851,0.19768714904785156
ivf_rf,0.948051948051948,0.948051948051948,0.948064986726526,0.7036900520324707
swf_rf,0.2510822510822511,0.2510822510822511,0.16260279901890057,0.30317020416259766
owf_rf,0.2510822510822511,0.2510822510822511,0.16260279901890057,0.3384745121002197
mrf_rf,0.9567099567099567,0.9567099567099567,0.9568220309063816,2.7201030254364014
xgb,0.9718614718614719,0.9718614718614719,0.9718105497205684,0.13937807083129883
rf,0.9783549783549783,0.9783549783549783,0.9783185719966833,0.23883557319641113
xt,0.9588744588744589,0.9588744588744589,0.9590301150067405,0.19191741943359375
ivf_rf,0.9783549783549783,0.9783549783549783,0.9783185719966833,0.690711498260498
swf_rf,0.27056277056277056,0.27056277056277056,0.17311272921719903,0.29900026321411133
owf_rf,0.27056277056277056,0.27056277056277056,0.17311272921719903,0.3282287120819092
mrf_rf,0.9848484848484849,0.9848484848484849,0.9847811336533141,2.6266298294067383
xgb,0.9588744588744589,0.9588744588744589,0.9587412349854738,0.27095866203308105
rf,0.9632034632034632,0.9632034632034632,0.9630247006618945,0.2572808265686035
xt,0.9415584415584416,0.9415584415584416,0.9409423805444223,0.20293927192687988
ivf_rf,0.9632034632034632,0.9632034632034632,0.9630247006618945,0.7256429195404053
swf_rf,0.2748917748917749,0.2748917748917749,0.17761216678750275,0.2969851493835449
owf_rf,0.2748917748917749,0.2748917748917749,0.17761216678750275,0.3416919708251953
mrf_rf,0.9632034632034632,0.9632034632034632,0.9629790736129602,2.719221830368042
xgb,0.961038961038961,0.961038961038961,0.9614581311912601,0.1389317512512207
rf,0.9567099567099567,0.9567099567099567,0.9572063034965316,0.23769903182983398
xt,0.9415584415584416,0.9415584415584416,0.9413171904917573,0.2086014747619629
ivf_rf,0.9567099567099567,0.9567099567099567,0.9572063034965316,0.7352335453033447
swf_rf,0.2597402597402597,0.2597402597402597,0.16737596441613353,0.30826258659362793
owf_rf,0.2597402597402597,0.2597402597402597,0.16737596441613353,0.34841251373291016
mrf_rf,0.9523809523809523,0.9523809523809523,0.9528370543408137,2.871520757675171
xgb,0.9653679653679653,0.9653679653679653,0.9650868752316427,0.12159895896911621
rf,0.9588744588744589,0.9588744588744589,0.9585838775500705,0.23679876327514648
xt,0.9458874458874459,0.945887445887446,0.945499803737724,0.19919705390930176
ivf_rf,0.9588744588744589,0.9588744588744589,0.9585838775500705,0.7512257099151611
swf_rf,0.27056277056277056,0.27056277056277056,0.17407988836560265,0.3061823844909668
owf_rf,0.27056277056277056,0.27056277056277056,0.17407988836560265,0.34379100799560547
mrf_rf,0.9632034632034632,0.9632034632034632,0.962763567102659,2.776221513748169
